index,pixel_id,Year_1987,Year_1988,Year_1989,Year_1990,Year_1991,Year_1992,Year_1993,Year_1994,Year_1995,Year_1996,Year_1997,Year_1998,Year_1999,Year_2000,Year_2001,Year_2002,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,longitude,latitude
10,10,0.366015851,0.35746297,0.452796357,0.365446758,0.385673816,0.74872728,0.313363382,0.141986393,0.494763328,0.74988043,0.145380464,0.598060227,0.243247189,0.32187986,0.644441872,0.462748384,0.839151002,0.430395725,0.388980483,0.329485095,0.429122599,0.516449166,0.57942569,0.124628986,0.226460549,-0.385335195,0,-0.206419636,-0.037275228,0.356854288,0.850861869,0.343615674,0.255231904,0.567080616,0.002947234,0.485006539,0.87826463,105.6263815,20.30762972
11,11,0.366015851,0.35746297,0.452796357,0.365446758,0.385673816,0.74872728,0.313363382,0.141986393,0.494763328,0.74988043,0.145380464,0.598060227,0.243247189,0.32187986,0.644441872,0.462748384,0.839151002,0.430395725,0.388980483,0.329485095,0.429122599,0.516449166,0.57942569,0.124628986,0.226460549,-0.385335195,0,-0.206419636,-0.037275228,0.356854288,0.850861869,0.343615674,0.255231904,0.567080616,0.002947234,0.485006539,0.87826463,105.626651,20.30762972
12,12,0.381289227,0.351351338,0.450193032,0.343544323,0.389246912,0.750402294,0.317184279,0.132884392,0.498196871,0.761372065,0.130842591,0.60445507,0.264017517,0.319168569,0.658585738,0.467300978,0.830783093,0.430915775,0.382526839,0.320875008,0.429384691,0.504385881,0.532760156,0.12243883,0.229120661,-0.379886967,0,-0.207844784,0.133635665,0.403996929,0.850758484,0.477812697,0.256614332,0.58577947,-0.00913078,0.48746511,0.824415897,105.6269205,20.30762972
13,13,0.383083555,0.358131975,0.449890659,0.299187752,0.376170025,0.739833583,0.318635949,0.123782218,0.510378467,0.784116815,0.132855599,0.600482297,0.251835799,0.315799184,0.614608369,0.467657162,0.774777538,0.421857683,0.362935841,0.32657862,0.424129803,0.500733408,0.506514281,0.117901705,0.212845043,-0.378674515,0,-0.208849227,0.142457373,0.445672825,0.842716523,0.562635346,0.249890351,0.589329035,-0.028203369,0.500390245,0.784814079,105.62719,20.30762972
14,14,0.365177297,0.360051498,0.441880133,0.242358177,0.37767051,0.741566568,0.324892974,0.132538447,0.52483482,0.746198602,0.139883992,0.597247131,0.241864647,0.323174893,0.624374755,0.462913759,0.790141909,0.418734562,0.355618014,0.32069158,0.414564264,0.497528319,0.427281809,0.124278155,0.207694721,-0.380826451,0,-0.20678078,-0.015874011,0.478635788,0.834737471,0.534586649,0.256755712,0.568300087,0.270591122,0.512094773,0.790002839,105.6274595,20.30762972
15,15,0.367029028,0.370238771,0.445878212,0.2256888,0.378271822,0.773809307,0.329059478,0.151224631,0.544194204,0.765592668,0.138159715,0.589885232,0.266773027,0.332493859,0.657101534,0.469445907,0.819949318,0.429259787,0.335683544,0.321305852,0.402402753,0.49932467,0.425382535,0.124278155,0.298306337,-0.384033131,0,-0.207645111,-0.070349582,0.509304945,0.834894973,0.388469508,0.257615731,0.583878123,0.260587283,0.516878825,0.784160187,105.6277289,20.30762972
16,16,0.37548903,0.374258642,0.438677312,0.240946166,0.375457879,0.771844447,0.330010689,0.155396178,0.571660138,0.770862255,0.133256486,0.605382423,0.257046985,0.335177434,0.669059985,0.467954077,0.838320635,0.436492015,0.316519931,0.332240064,0.414685035,0.497239757,0.426882257,0.119871889,0.308620042,-0.391776078,0,-0.205001083,-0.125978583,0.486848709,0.81657296,0.407450941,0.244573468,0.583797147,0.25804598,0.505659523,0.837974646,105.6279984,20.30762972
17,17,0.371926731,0.371555264,0.404512777,0.267441561,0.375302517,0.774969094,0.321111568,0.13986088,0.584173112,0.760914504,0.0398651,0.599243574,0.233276413,0.332691838,0.712056389,0.470089713,0.831885775,0.422751216,0.302914216,0.27171589,0.402586629,0.500425151,0.425772594,0.11765817,0.322730234,-0.395269843,0,-0.207377464,0.172264976,0.436736557,0.831129324,0.400816855,0.25650436,0.58180235,0.263917922,0.505419408,0.782051322,105.6282679,20.30762972
18,18,0.36515745,0.366344227,0.37997375,0.306246883,0.363140514,0.765589072,0.321550386,0.134604486,0.595860866,0.757760423,0.04100667,0.593545792,0.21411743,0.326500856,0.723473476,0.460859112,0.83544138,0.385654548,0.299471145,0.268141088,0.389205507,0.497487819,0.41120861,0.119545524,0.309307836,-0.391296788,0,-0.205724159,0.185578836,0.419439047,0.438830456,0.409138644,0.247111836,0.568287724,0.26981843,0.491376586,0.789010544,105.6285374,20.30762972
19,19,0.368339104,0.365169828,0.376750402,0.269897655,0.34988701,0.74807458,0.322183726,0.135536156,0.61549118,0.771423121,0.034229411,0.585339309,0.208726519,0.331248458,0.714784906,0.464419439,0.828157726,0.291769416,0.301699544,0.261376487,0.366265539,0.499473009,0.404602544,0.117769074,0.305900337,-0.383366695,0,-0.206745721,0.221289031,0.379756596,0.448336097,0.41579967,0.248947406,0.532960909,0.265178847,0.455638623,0.809899318,105.6288069,20.30762972
