system:index,NDVI,year,.geo
2_12,-789.57983,1987,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.464487640499553]}"
2_13,-816.4449,1987,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.464487640499553]}"
2_14,-848.09265,1987,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.464487640499553]}"
2_15,-820.1946,1987,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.464487640499553]}"
3_0,-824.13794,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4652961242552602]}"
3_1,-824.13794,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4652961242552602]}"
3_2,-806.4729,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4652961242552602]}"
3_3,-824.739,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4652961242552602]}"
3_4,-781.457,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4650266296700245]}"
3_5,-814.60675,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4650266296700245]}"
3_6,-827.0366,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4650266296700245]}"
3_7,-829.8003,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4650266296700245]}"
3_8,-787.7814,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4647571350847888]}"
3_9,-824.68353,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4647571350847888]}"
3_10,-816.49554,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4647571350847888]}"
3_11,-816.49554,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4647571350847888]}"
3_12,-774.3732,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.464487640499553]}"
3_13,-745.68286,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.464487640499553]}"
3_14,-813.59357,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.464487640499553]}"
3_15,-839.59045,1988,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.464487640499553]}"
5_0,-761.3365,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4652961242552602]}"
5_1,-740.09625,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4652961242552602]}"
5_2,-768.01056,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4652961242552602]}"
5_3,-780.89886,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4652961242552602]}"
5_4,-762.1415,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4650266296700245]}"
5_5,-761.3365,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4650266296700245]}"
5_6,-772.13544,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4650266296700245]}"
5_7,-798.96906,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4650266296700245]}"
5_8,-745.1766,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4647571350847888]}"
