system:index,NDVI,year,.geo
0_0,0.2686064519198481,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69115826511599,21.31655978800341]}"
0_1,0.32482033214068806,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69144751739664,21.31655859914917]}"
0_2,0.36713038419318167,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69173676965727,21.31655740979759]}"
0_3,0.3454375178309952,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69202602189783,21.31655621994865]}"
0_4,0.30472336774408776,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69231527411836,21.31655502960237]}"
0_5,0.2633218445046186,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.6926045263188,21.316553838758736]}"
0_6,0.28162782035824374,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69115953360117,21.316830827503978]}"
0_7,0.2930891835314064,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.6914487864126,21.316829638633187]}"
0_8,0.3220722198969021,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69173803920398,21.316828449265035]}"
0_9,0.31932422283719664,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69202729197532,21.31682725939953]}"
0_10,0.294803041720812,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.6923165447266,21.316826069036672]}"
0_11,0.2726225301609244,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.6926057974578,21.316824878176455]}"
0_12,0.24680783382534233,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69116080210638,21.317101866995745]}"
0_13,0.27245747473402826,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.6914500554486,21.3171006781084]}"
0_14,0.30192579107986806,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69173930877074,21.317099488723684]}"
0_15,0.33352950214492016,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69202856207285,21.31709829884161]}"
0_16,0.34216152235136915,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.6923178153549,21.31709710846217]}"
0_17,0.3157878786173681,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69260706861688,21.31709591758537]}"
0_18,0.19344725141810032,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69116207063163,21.317372906478713]}"
0_19,0.256854660988362,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69145132450461,21.317371717574808]}"
0_20,0.2916198594983629,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69174057835755,21.31737052817353]}"
0_21,0.3251030985938685,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69202983219044,21.317369338274887]}"
0_22,0.3509668376990736,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69231908600327,21.317368147878874]}"
0_23,0.3299809413442819,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69260833979602,21.31736695698549]}"
0_24,0.2137031904552083,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69116333917692,21.31764394595288]}"
0_25,0.2325935624934502,1986.0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[105.69145259358069,21.31764275703242]}"
